DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
07/17/2020 12:00:00 AM,354,45,14
07/18/2020 12:00:00 AM,177,26,11
07/19/2020 12:00:00 AM,131,30,6
07/20/2020 12:00:00 AM,298,32,11
07/21/2020 12:00:00 AM,251,21,12
07/22/2020 12:00:00 AM,218,32,7
07/23/2020 12:00:00 AM,183,32,7
07/24/2020 12:00:00 AM,202,33,6
07/25/2020 12:00:00 AM,85,26,6
07/26/2020 12:00:00 AM,86,18,7
07/27/2020 12:00:00 AM,159,32,2
07/28/2020 12:00:00 AM,113,21,5
07/29/2020 12:00:00 AM,44,1,2
07/30/2020 12:00:00 AM,14,0,0
